date,VesselClass,VesselCount,Dispersion
01/01/2016,Capesize,574,5130.818962
01/01/2016,VLOC,104,5411.719304
02/01/2016,Capesize,571,5101.559103
02/01/2016,VLOC,100,5286.434294
03/01/2016,Capesize,570,5102.153965
03/01/2016,VLOC,101,5456.015094
04/01/2016,Capesize,576,5155.095214
04/01/2016,VLOC,104,5574.922313
05/01/2016,Capesize,577,5166.628645
05/01/2016,VLOC,107,5725.467608
06/01/2016,Capesize,586,5184.764427
06/01/2016,VLOC,105,5828.871176
07/01/2016,Capesize,582,5218.135068
07/01/2016,VLOC,106,5972.193788
08/01/2016,Capesize,593,5323.875892
08/01/2016,VLOC,110,5876.442052
09/01/2016,Capesize,596,5255.300871
09/01/2016,VLOC,107,5907.725407
10/01/2016,Capesize,601,5284.008277
10/01/2016,VLOC,106,6047.431132
11/01/2016,Capesize,609,5329.489407
11/01/2016,VLOC,108,6055.088654
12/01/2016,Capesize,611,5358.417235
12/01/2016,VLOC,103,6014.04263
13/01/2016,Capesize,613,5408.987655
13/01/2016,VLOC,101,6025.77647
14/01/2016,Capesize,614,5418.182156
14/01/2016,VLOC,106,6157.920615
15/01/2016,Capesize,631,5346.364682
15/01/2016,VLOC,104,6173.333252
16/01/2016,Capesize,633,5473.174124
16/01/2016,VLOC,104,6048.278394
17/01/2016,Capesize,644,5505.636222
17/01/2016,VLOC,101,6006.098656
18/01/2016,Capesize,643,5530.484915
18/01/2016,VLOC,100,6037.165091
19/01/2016,Capesize,643,5528.61105
19/01/2016,VLOC,101,6162.58492
20/01/2016,Capesize,645,5622.645324
20/01/2016,VLOC,107,6117.317415
21/01/2016,Capesize,646,5686.651427
21/01/2016,VLOC,109,6130.588869
22/01/2016,Capesize,650,5678.84303
22/01/2016,VLOC,107,6205.303939
23/01/2016,Capesize,653,5675.601591
23/01/2016,VLOC,108,6091.161956
24/01/2016,Capesize,645,5662.50283
24/01/2016,VLOC,109,6212.839964
25/01/2016,Capesize,658,5707.35291
25/01/2016,VLOC,107,6322.147599
26/01/2016,Capesize,658,5715.38443
26/01/2016,VLOC,104,6227.362283
27/01/2016,Capesize,651,5811.625732
27/01/2016,VLOC,105,6203.222746
28/01/2016,Capesize,656,5842.098239
28/01/2016,VLOC,100,6226.283066
29/01/2016,Capesize,650,5816.67186
29/01/2016,VLOC,97,6334.462458
30/01/2016,Capesize,665,5816.45926
30/01/2016,VLOC,99,6429.737129
31/01/2016,Capesize,663,5774.8223
31/01/2016,VLOC,97,6269.759995
01/02/2016,Capesize,675,5751.205664
01/02/2016,VLOC,96,6196.681915
02/02/2016,Capesize,682,5819.4666
02/02/2016,VLOC,97,6199.159641
03/02/2016,Capesize,680,5822.09294
03/02/2016,VLOC,98,6214.84925
04/02/2016,Capesize,680,5897.157874
04/02/2016,VLOC,102,6339.833368
05/02/2016,Capesize,683,5903.193982
05/02/2016,VLOC,102,6261.331834
06/02/2016,Capesize,692,5900.728436
06/02/2016,VLOC,96,6086.61054
07/02/2016,Capesize,693,5911.671382
07/02/2016,VLOC,94,6129.50402
08/02/2016,Capesize,692,5910.892984
08/02/2016,VLOC,97,6178.636909
09/02/2016,Capesize,685,5870.671027
09/02/2016,VLOC,99,6114.749975
10/02/2016,Capesize,682,5831.300694
10/02/2016,VLOC,97,6188.525116
11/02/2016,Capesize,678,5904.337374
11/02/2016,VLOC,99,6182.055692
12/02/2016,Capesize,668,5961.096504
12/02/2016,VLOC,95,6158.344801
13/02/2016,Capesize,666,6016.217192
13/02/2016,VLOC,92,6207.969656
14/02/2016,Capesize,654,6102.64141
14/02/2016,VLOC,94,6238.046292
15/02/2016,Capesize,651,6165.460934
15/02/2016,VLOC,93,6153.511176
16/02/2016,Capesize,640,6196.591776
16/02/2016,VLOC,93,6272.816966
17/02/2016,Capesize,656,6185.913445
17/02/2016,VLOC,94,6274.702418
18/02/2016,Capesize,655,6219.242872
18/02/2016,VLOC,92,6216.937734
19/02/2016,Capesize,667,6161.587841
19/02/2016,VLOC,94,6258.116356
20/02/2016,Capesize,665,6105.00882
20/02/2016,VLOC,93,6300.887498
21/02/2016,Capesize,668,6115.14393
21/02/2016,VLOC,92,6357.651356
22/02/2016,Capesize,668,6166.60622
22/02/2016,VLOC,92,6403.641112
23/02/2016,Capesize,663,6139.492569
23/02/2016,VLOC,90,6153.314123
24/02/2016,Capesize,676,6120.465337
24/02/2016,VLOC,85,6380.099705
25/02/2016,Capesize,674,6147.550539
25/02/2016,VLOC,83,6353.596238
26/02/2016,Capesize,670,6201.961491
26/02/2016,VLOC,84,6307.191939
27/02/2016,Capesize,665,6164.099262
27/02/2016,VLOC,85,6209.449843
28/02/2016,Capesize,663,6063.201437
28/02/2016,VLOC,87,6282.593245
29/02/2016,Capesize,658,6045.235613
29/02/2016,VLOC,91,6223.622697
01/03/2016,Capesize,657,5992.838529
01/03/2016,VLOC,91,6189.068734
02/03/2016,Capesize,652,5997.299278
02/03/2016,VLOC,92,6275.942887
03/03/2016,Capesize,655,6039.74256
03/03/2016,VLOC,95,6240.804572
04/03/2016,Capesize,658,6031.57074
04/03/2016,VLOC,96,6257.851161
05/03/2016,Capesize,653,6092.309983
05/03/2016,VLOC,98,6225.376672
06/03/2016,Capesize,657,6079.347514
06/03/2016,VLOC,102,6189.035038
07/03/2016,Capesize,655,6059.2066
07/03/2016,VLOC,97,6061.217682
08/03/2016,Capesize,653,6097.38597
08/03/2016,VLOC,103,6131.672614
09/03/2016,Capesize,666,6146.15285
09/03/2016,VLOC,100,6182.438647
10/03/2016,Capesize,672,6176.908776
10/03/2016,VLOC,102,6173.630197
11/03/2016,Capesize,668,6144.617837
11/03/2016,VLOC,104,6225.276501
12/03/2016,Capesize,673,6146.01025
12/03/2016,VLOC,104,6311.100918
13/03/2016,Capesize,665,6150.405235
13/03/2016,VLOC,108,6355.327645
14/03/2016,Capesize,652,6157.988082
14/03/2016,VLOC,109,6356.076819
15/03/2016,Capesize,662,6183.497303
